partition,test_type,status,owner,model
pard2d1chnl,atspeed_edt_edt_low_internal_serial_scan,PASS,Mario Alpizar,nio_d2d-a0-26ww21a
pard2d1chnl,pard2d1chnl_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,Mario Alpizar,nio_d2d-a0-26ww21a
pard2d1chnl,ssn_continuity,PASS,Sebastian Porras,nio_d2d-a0-26ww21a
pard2d1chnl,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,Mario Alpizar,nio_d2d-a0-26ww21a
pard2d1chnl,stuckat_edt_bypass_low_internal_serial_chain,MISSING,Mario Alpizar,nio_d2d-a0-26ww21a
pard2d1chnl,stuckat_edt_bypass_low_internal_serial_scan,MISSING,Mario Alpizar,nio_d2d-a0-26ww21a
pard2d1chnl,stuckat_edt_edt_low_internal_loopback,PASS,Sebastian Porras,nio_d2d-a0-26ww21a
pard2d1chnl,stuckat_edt_edt_low_internal_serial_chain,PASS,Mario Alpizar,nio_d2d-a0-26ww21a
pard2d1chnl,stuckat_edt_edt_low_internal_serial_scan,PASS,Mario Alpizar,nio_d2d-a0-26ww21a
pard2d1misc,atspeed_edt_edt_low_internal_serial_scan,PASS,Emmanuel Araya,nio_d2d-a0-26ww21a
pard2d1misc,pard2d1misc_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,Emmanuel Araya,nio_d2d-a0-26ww21a
pard2d1misc,ssn_continuity,PASS,Sebastian Porras,nio_d2d-a0-26ww21a
pard2d1misc,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,Emmanuel Araya,nio_d2d-a0-26ww21a
pard2d1misc,stuckat_edt_bypass_low_internal_serial_chain,PASS,Emmanuel Araya,nio_d2d-a0-26ww21a
pard2d1misc,stuckat_edt_bypass_low_internal_serial_scan,PASS,Emmanuel Araya,nio_d2d-a0-26ww21a
pard2d1misc,stuckat_edt_edt_low_internal_loopback,PASS,Sebastian Porras,nio_d2d-a0-26ww21a
pard2d1misc,stuckat_edt_edt_low_internal_serial_chain,PASS,Emmanuel Araya,nio_d2d-a0-26ww21a
pard2d1misc,stuckat_edt_edt_low_internal_serial_scan,PASS,Emmanuel Araya,nio_d2d-a0-26ww21a
pard2d1uladda0,atspeed_edt_edt_low_internal_serial_scan,PASS,KalthireddyX Gunasekhar,nio_d2d-a0-26ww21a
pard2d1uladda0,pard2d1uladda0_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,KalthireddyX Gunasekhar,nio_d2d-a0-26ww21a
pard2d1uladda0,ssn_continuity,PASS,KalthireddyX Gunasekhar,nio_d2d-a0-26ww21a
pard2d1uladda0,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,KalthireddyX Gunasekhar,nio_d2d-a0-26ww21a
pard2d1uladda0,stuckat_edt_bypass_low_internal_serial_chain,PASS,KalthireddyX Gunasekhar,nio_d2d-a0-26ww21a
pard2d1uladda0,stuckat_edt_bypass_low_internal_serial_scan,PASS,KalthireddyX Gunasekhar,nio_d2d-a0-26ww21a
pard2d1uladda0,stuckat_edt_edt_low_internal_loopback,PASS,KalthireddyX Gunasekhar,nio_d2d-a0-26ww21a
pard2d1uladda0,stuckat_edt_edt_low_internal_serial_chain,PASS,KalthireddyX Gunasekhar,nio_d2d-a0-26ww21a
pard2d1uladda0,stuckat_edt_edt_low_internal_serial_scan,PASS,KalthireddyX Gunasekhar,nio_d2d-a0-26ww21a
pard2d1uladda1,atspeed_edt_edt_low_internal_serial_scan,PASS,KalthireddyX Gunasekhar,nio_d2d-a0-26ww21a
pard2d1uladda1,pard2d1uladda1_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,KalthireddyX Gunasekhar,nio_d2d-a0-26ww21a
pard2d1uladda1,ssn_continuity,PASS,KalthireddyX Gunasekhar,nio_d2d-a0-26ww21a
pard2d1uladda1,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,KalthireddyX Gunasekhar,nio_d2d-a0-26ww21a
pard2d1uladda1,stuckat_edt_bypass_low_internal_serial_chain,PASS,KalthireddyX Gunasekhar,nio_d2d-a0-26ww21a
pard2d1uladda1,stuckat_edt_bypass_low_internal_serial_scan,PASS,KalthireddyX Gunasekhar,nio_d2d-a0-26ww21a
pard2d1uladda1,stuckat_edt_edt_low_internal_loopback,PASS,KalthireddyX Gunasekhar,nio_d2d-a0-26ww21a
pard2d1uladda1,stuckat_edt_edt_low_internal_serial_chain,PASS,KalthireddyX Gunasekhar,nio_d2d-a0-26ww21a
pard2d1uladda1,stuckat_edt_edt_low_internal_serial_scan,PASS,KalthireddyX Gunasekhar,nio_d2d-a0-26ww21a
parmccore,atspeed_edt_edt_low_internal_serial_scan,MISSING,Mario Alpizar,nio_mc-a0-26ww20c
parmccore,parmccore_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,Mario Alpizar,nio_mc-a0-26ww20c
parmccore,ssn_continuity,PASS,Sebastian Porras,nio_mc-a0-26ww20c
parmccore,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,Mario Alpizar,nio_mc-a0-26ww20c
parmccore,stuckat_edt_bypass_low_internal_serial_chain,PASS,Mario Alpizar,nio_mc-a0-26ww20c
parmccore,stuckat_edt_bypass_low_internal_serial_scan,PASS,Mario Alpizar,nio_mc-a0-26ww20c
parmccore,stuckat_edt_edt_low_internal_loopback,PASS,Sebastian Porras,nio_mc-a0-26ww20c
parmccore,stuckat_edt_edt_low_internal_serial_chain,PASS,Mario Alpizar,nio_mc-a0-26ww20c
parmccore,stuckat_edt_edt_low_internal_serial_scan,PASS,Mario Alpizar,nio_mc-a0-26ww20c
parmcmisc,atspeed_edt_edt_low_internal_serial_scan,PASS,Mauricio Segura,nio_mc-a0-26ww20c
parmcmisc,scan_ctlr_stuckat_edt_bypass_low_internal_scandump,MISSING,Mauricio Segura,nio_mc-a0-26ww20c
parmcmisc,ssn_continuity,MISSING,Sebastian Porras,nio_mc-a0-26ww20c
parmcmisc,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,MISSING,Mauricio Segura,nio_mc-a0-26ww20c
parmcmisc,stuckat_edt_bypass_low_internal_serial_chain,PASS,Mauricio Segura,nio_mc-a0-26ww20c
parmcmisc,stuckat_edt_bypass_low_internal_serial_scan,PASS,Mauricio Segura,nio_mc-a0-26ww20c
parmcmisc,stuckat_edt_edt_low_internal_loopback,PASS,Sebastian Porras,nio_mc-a0-26ww20c
parmcmisc,stuckat_edt_edt_low_internal_serial_chain,PASS,Mauricio Segura,nio_mc-a0-26ww20c
parmcmisc,stuckat_edt_edt_low_internal_serial_scan,PASS,Mauricio Segura,nio_mc-a0-26ww20c
parmcmse,atspeed_edt_edt_low_internal_serial_scan,PASS,Emmanuel Araya,nio_mc-a0-26ww20c
parmcmse,parmcmse_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,Emmanuel Araya,nio_mc-a0-26ww20c
parmcmse,ssn_continuity,PASS,Sebastian Porras,nio_mc-a0-26ww20c
parmcmse,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,Emmanuel Araya,nio_mc-a0-26ww20c
parmcmse,stuckat_edt_bypass_low_internal_serial_chain,PASS,Emmanuel Araya,nio_mc-a0-26ww20c
parmcmse,stuckat_edt_bypass_low_internal_serial_scan,PASS,Emmanuel Araya,nio_mc-a0-26ww20c
parmcmse,stuckat_edt_edt_low_internal_loopback,PASS,Sebastian Porras,nio_mc-a0-26ww20c
parmcmse,stuckat_edt_edt_low_internal_serial_chain,PASS,Emmanuel Araya,nio_mc-a0-26ww20c
parmcmse,stuckat_edt_edt_low_internal_serial_scan,PASS,Emmanuel Araya,nio_mc-a0-26ww20c
parmemdfi0,atspeed_edt_edt_low_internal_serial_scan,MISSING,Mauricio Segura,nio_mc-a0-26ww20c
