report_name,report_timestamp,stack,total,pass,fail,missing,pass_pct,fail_pct,missing_pct
general_report_20260527_111055.csv,2026-05-27 11:10:55,uio,162,141,0,21,87.04,0.00,12.96
general_report_20260527_111243.csv,2026-05-27 11:12:43,d2d,36,34,0,2,94.44,0.00,5.56
general_report_20260527_111243.csv,2026-05-27 11:12:43,mc,45,32,0,13,71.11,0.00,28.89
general_report_20260527_111243.csv,2026-05-27 11:12:43,uio,162,141,0,21,87.04,0.00,12.96
general_report_20260527_111801.csv,2026-05-27 11:18:01,d2d,36,34,0,2,94.44,0.00,5.56
general_report_20260527_111801.csv,2026-05-27 11:18:01,mc,45,32,0,13,71.11,0.00,28.89
general_report_20260527_111801.csv,2026-05-27 11:18:01,uio,162,141,0,21,87.04,0.00,12.96
general_report_20260527_112021.csv,2026-05-27 11:20:21,d2d,36,34,0,2,94.44,0.00,5.56
general_report_20260527_112021.csv,2026-05-27 11:20:21,mc,45,32,0,13,71.11,0.00,28.89
general_report_20260527_112021.csv,2026-05-27 11:20:21,uio,162,141,0,21,87.04,0.00,12.96
general_report_20260527_112617.csv,2026-05-27 11:26:17,d2d,36,34,0,2,94.44,0.00,5.56
general_report_20260527_112617.csv,2026-05-27 11:26:17,mc,45,32,0,13,71.11,0.00,28.89
general_report_20260527_112617.csv,2026-05-27 11:26:17,uio,162,141,0,21,87.04,0.00,12.96
general_report_20260527_112809.csv,2026-05-27 11:28:09,d2d,36,34,0,2,94.44,0.00,5.56
general_report_20260527_112809.csv,2026-05-27 11:28:09,mc,45,32,0,13,71.11,0.00,28.89
general_report_20260527_112809.csv,2026-05-27 11:28:09,uio,162,141,0,21,87.04,0.00,12.96
general_report_20260527_113301.csv,2026-05-27 11:33:01,d2d,36,34,0,2,94.44,0.00,5.56
general_report_20260527_113301.csv,2026-05-27 11:33:01,mc,45,32,0,13,71.11,0.00,28.89
general_report_20260527_113301.csv,2026-05-27 11:33:01,uio,162,141,0,21,87.04,0.00,12.96
general_report_20260527_113325.csv,2026-05-27 11:33:25,d2d,36,34,0,2,94.44,0.00,5.56
general_report_20260527_113325.csv,2026-05-27 11:33:25,mc,45,32,0,13,71.11,0.00,28.89
general_report_20260527_113325.csv,2026-05-27 11:33:25,uio,162,141,0,21,87.04,0.00,12.96
general_report_20260527_113804.csv,2026-05-27 11:38:04,d2d,36,34,0,2,94.44,0.00,5.56
general_report_20260527_113804.csv,2026-05-27 11:38:04,mc,45,32,0,13,71.11,0.00,28.89
general_report_20260527_113804.csv,2026-05-27 11:38:04,uio,162,141,0,21,87.04,0.00,12.96
general_report_20260527_114135.csv,2026-05-27 11:41:35,d2d,36,34,0,2,94.44,0.00,5.56
general_report_20260527_114135.csv,2026-05-27 11:41:35,mc,45,32,0,13,71.11,0.00,28.89
general_report_20260527_114135.csv,2026-05-27 11:41:35,uio,162,141,0,21,87.04,0.00,12.96
