partition,test_type,status,owner,model
pard2d1misc,atspeed_edt_bypass_low_internal_serial_scan,FAIL,Emmanuel,nio_d2d-a0-26ww15b
pard2d1misc,atspeed_edt_edt_low_internal_serial_scan,FAIL,Emmanuel,nio_d2d-a0-26ww15b
pard2d1misc,ijtag_basic_tap_tests_rw_access,MISSING,Emmanuel,nio_d2d-a0-26ww15b
pard2d1misc,pard2d1misc_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,Emmanuel,nio_d2d-a0-26ww15b
pard2d1misc,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,Emmanuel,nio_d2d-a0-26ww15b
pard2d1misc,stuckat_edt_bypass_low_internal_serial_chain,PASS,Emmanuel,nio_d2d-a0-26ww15b
pard2d1misc,stuckat_edt_bypass_low_internal_serial_scan,PASS,Emmanuel,nio_d2d-a0-26ww15b
pard2d1misc,stuckat_edt_edt_low_internal_serial_chain,PASS,Emmanuel,nio_d2d-a0-26ww15b
pard2d1misc,stuckat_edt_edt_low_internal_serial_scan,PASS,Emmanuel,nio_d2d-a0-26ww15b
parmcmse,atspeed_edt_bypass_low_internal_serial_scan,PASS,Emmanuel,nio_mc-a0-26ww15f
parmcmse,atspeed_edt_edt_low_internal_serial_scan,PASS,Emmanuel,nio_mc-a0-26ww15f
parmcmse,ijtag_basic_tap_tests_rw_access,PASS,Emmanuel,nio_mc-a0-26ww15f
parmcmse,parmcmse_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,Emmanuel,nio_mc-a0-26ww15f
parmcmse,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,Emmanuel,nio_mc-a0-26ww15f
parmcmse,stuckat_edt_bypass_low_internal_serial_chain,PASS,Emmanuel,nio_mc-a0-26ww15f
parmcmse,stuckat_edt_bypass_low_internal_serial_scan,PASS,Emmanuel,nio_mc-a0-26ww15f
parmcmse,stuckat_edt_edt_low_internal_serial_chain,MISSING,Emmanuel,nio_mc-a0-26ww15f
parmcmse,stuckat_edt_edt_low_internal_serial_scan,PASS,Emmanuel,nio_mc-a0-26ww15f
parmemsram,atspeed_edt_bypass_low_internal_serial_scan,MISSING,Emmanuel,nio_mc-a0-26ww15f
parmemsram,atspeed_edt_edt_low_internal_serial_scan,PASS,Emmanuel,nio_mc-a0-26ww15f
parmemsram,ijtag_basic_tap_tests_rw_access,MISSING,Emmanuel,nio_mc-a0-26ww15f
parmemsram,parmemsram_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,Emmanuel,nio_mc-a0-26ww15f
parmemsram,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,Emmanuel,nio_mc-a0-26ww15f
parmemsram,stuckat_edt_bypass_low_internal_serial_chain,PASS,Emmanuel,nio_mc-a0-26ww15f
parmemsram,stuckat_edt_bypass_low_internal_serial_scan,MISSING,Emmanuel,nio_mc-a0-26ww15f
parmemsram,stuckat_edt_edt_low_internal_serial_chain,MISSING,Emmanuel,nio_mc-a0-26ww15f
parmemsram,stuckat_edt_edt_low_internal_serial_scan,PASS,Emmanuel,nio_mc-a0-26ww15f
parmiofblprxfcrarbmux,atspeed_edt_bypass_low_internal_serial_scan,MISSING,Emmanuel,nio_uio-a0-26ww16c
parmiofblprxfcrarbmux,atspeed_edt_edt_low_internal_serial_scan,MISSING,Emmanuel,nio_uio-a0-26ww16c
parmiofblprxfcrarbmux,ijtag_basic_tap_tests_rw_access,MISSING,Emmanuel,nio_uio-a0-26ww16c
