partition,test_type,status,owner,model
pard2d1misc,atspeed_edt_bypass_low_internal_serial_scan,PASS,Emmanuel,nio_d2d-a0-26ww17b
pard2d1misc,atspeed_edt_edt_low_internal_serial_scan,PASS,Emmanuel,nio_d2d-a0-26ww17b
pard2d1misc,ijtag_basic_tap_tests_rw_access,FAIL,Emmanuel,nio_d2d-a0-26ww17b
pard2d1misc,pard2d1misc_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,Emmanuel,nio_d2d-a0-26ww17b
pard2d1misc,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,Emmanuel,nio_d2d-a0-26ww17b
pard2d1misc,stuckat_edt_bypass_low_internal_serial_chain,PASS,Emmanuel,nio_d2d-a0-26ww17b
pard2d1misc,stuckat_edt_bypass_low_internal_serial_scan,PASS,Emmanuel,nio_d2d-a0-26ww17b
pard2d1misc,stuckat_edt_edt_low_internal_serial_chain,PASS,Emmanuel,nio_d2d-a0-26ww17b
pard2d1misc,stuckat_edt_edt_low_internal_serial_scan,PASS,Emmanuel,nio_d2d-a0-26ww17b
parmcmse,atspeed_edt_bypass_low_internal_serial_scan,PASS,Emmanuel,nio_mc-a0-26ww17a
parmcmse,atspeed_edt_edt_low_internal_serial_scan,PASS,Emmanuel,nio_mc-a0-26ww17a
parmcmse,ijtag_basic_tap_tests_rw_access,PASS,Emmanuel,nio_mc-a0-26ww17a
parmcmse,parmcmse_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,Emmanuel,nio_mc-a0-26ww17a
parmcmse,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,Emmanuel,nio_mc-a0-26ww17a
parmcmse,stuckat_edt_bypass_low_internal_serial_chain,PASS,Emmanuel,nio_mc-a0-26ww17a
parmcmse,stuckat_edt_bypass_low_internal_serial_scan,PASS,Emmanuel,nio_mc-a0-26ww17a
parmcmse,stuckat_edt_edt_low_internal_serial_chain,PASS,Emmanuel,nio_mc-a0-26ww17a
parmcmse,stuckat_edt_edt_low_internal_serial_scan,PASS,Emmanuel,nio_mc-a0-26ww17a
parmemsram,atspeed_edt_bypass_low_internal_serial_scan,PASS,Emmanuel,nio_mc-a0-26ww17a
parmemsram,atspeed_edt_edt_low_internal_serial_scan,PASS,Emmanuel,nio_mc-a0-26ww17a
parmemsram,ijtag_basic_tap_tests_rw_access,PASS,Emmanuel,nio_mc-a0-26ww17a
parmemsram,parmemsram_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,Emmanuel,nio_mc-a0-26ww17a
parmemsram,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,Emmanuel,nio_mc-a0-26ww17a
parmemsram,stuckat_edt_bypass_low_internal_serial_chain,PASS,Emmanuel,nio_mc-a0-26ww17a
parmemsram,stuckat_edt_bypass_low_internal_serial_scan,PASS,Emmanuel,nio_mc-a0-26ww17a
parmemsram,stuckat_edt_edt_low_internal_serial_chain,PASS,Emmanuel,nio_mc-a0-26ww17a
parmemsram,stuckat_edt_edt_low_internal_serial_scan,PASS,Emmanuel,nio_mc-a0-26ww17a
parmiofblprxfcrarbmux,atspeed_edt_bypass_low_internal_serial_scan,PASS,Emmanuel,nio_uio-a0-26ww17a
parmiofblprxfcrarbmux,atspeed_edt_edt_low_internal_serial_scan,PASS,Emmanuel,nio_uio-a0-26ww17a
parmiofblprxfcrarbmux,ijtag_basic_tap_tests_rw_access,PASS,Emmanuel,nio_uio-a0-26ww17a
parmiofblprxfcrarbmux,ijtag_basic_tap_tests_tlr_reset,PASS,Emmanuel,nio_uio-a0-26ww17a
parmiofblprxfcrarbmux,parmiofblprxfcrarbmux_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,Emmanuel,nio_uio-a0-26ww17a
parmiofblprxfcrarbmux,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,Emmanuel,nio_uio-a0-26ww17a
parmiofblprxfcrarbmux,stuckat_edt_bypass_low_internal_serial_chain,PASS,Emmanuel,nio_uio-a0-26ww17a
parmiofblprxfcrarbmux,stuckat_edt_bypass_low_internal_serial_scan,PASS,Emmanuel,nio_uio-a0-26ww17a
parmiofblprxfcrarbmux,stuckat_edt_edt_low_internal_serial_chain,PASS,Emmanuel,nio_uio-a0-26ww17a
parmiofblprxfcrarbmux,stuckat_edt_edt_low_internal_serial_scan,PASS,Emmanuel,nio_uio-a0-26ww17a
parmiofblprxfcrarbmux,uio_1_ijtag_basic_tap_tests_rw_access,FAIL,Emmanuel,nio_uio-a0-26ww17a
parmiofblprxfcrarbmux,uio_1_ijtag_basic_tap_tests_tlr_reset,FAIL,Emmanuel,nio_uio-a0-26ww17a
parmiofblpvnpipeac_uio_0,atspeed_edt_bypass_low_internal_serial_scan,MISSING,Emmanuel,nio_uio-a0-26ww17a
parmiofblpvnpipeac_uio_0,atspeed_edt_edt_low_internal_serial_scan,MISSING,Emmanuel,nio_uio-a0-26ww17a
parmiofblpvnpipeac_uio_0,ijtag_basic_tap_tests_rw_access,MISSING,Emmanuel,nio_uio-a0-26ww17a
parmiofblpvnpipeac_uio_0,scan_ctlr_stuckat_edt_bypass_low_internal_scandump,MISSING,Emmanuel,nio_uio-a0-26ww17a
parmiofblpvnpipeac_uio_0,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,MISSING,Emmanuel,nio_uio-a0-26ww17a
parmiofblpvnpipeac_uio_0,stuckat_edt_bypass_low_internal_serial_chain,MISSING,Emmanuel,nio_uio-a0-26ww17a
parmiofblpvnpipeac_uio_0,stuckat_edt_bypass_low_internal_serial_scan,MISSING,Emmanuel,nio_uio-a0-26ww17a
parmiofblpvnpipeac_uio_0,stuckat_edt_edt_low_internal_serial_chain,MISSING,Emmanuel,nio_uio-a0-26ww17a
parmiofblpvnpipeac_uio_0,stuckat_edt_edt_low_internal_serial_scan,MISSING,Emmanuel,nio_uio-a0-26ww17a
parmioiommu_uio_0,atspeed_edt_bypass_low_internal_serial_scan,MISSING,Emmanuel,nio_uio-a0-26ww17a
parmioiommu_uio_0,atspeed_edt_edt_low_internal_serial_scan,MISSING,Emmanuel,nio_uio-a0-26ww17a
parmioiommu_uio_0,ijtag_basic_tap_tests_rw_access,PASS,Emmanuel,nio_uio-a0-26ww17a
parmioiommu_uio_0,ijtag_basic_tap_tests_tlr_reset,PASS,Emmanuel,nio_uio-a0-26ww17a
parmioiommu_uio_0,scan_ctlr_stuckat_edt_bypass_low_internal_scandump,MISSING,Emmanuel,nio_uio-a0-26ww17a
parmioiommu_uio_0,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,MISSING,Emmanuel,nio_uio-a0-26ww17a
parmioiommu_uio_0,stuckat_edt_bypass_low_internal_serial_chain,MISSING,Emmanuel,nio_uio-a0-26ww17a
parmioiommu_uio_0,stuckat_edt_bypass_low_internal_serial_scan,MISSING,Emmanuel,nio_uio-a0-26ww17a
parmioiommu_uio_0,stuckat_edt_edt_low_internal_serial_chain,MISSING,Emmanuel,nio_uio-a0-26ww17a
parmioiommu_uio_0,stuckat_edt_edt_low_internal_serial_scan,MISSING,Emmanuel,nio_uio-a0-26ww17a
parmiopcie6tridelldp_uio_0,atspeed_edt_bypass_low_internal_serial_scan,PASS,Emmanuel,nio_uio-a0-26ww17a
parmiopcie6tridelldp_uio_0,atspeed_edt_edt_low_internal_serial_scan,PASS,Emmanuel,nio_uio-a0-26ww17a
parmiopcie6tridelldp_uio_0,ijtag_basic_tap_tests_rw_access,PASS,Emmanuel,nio_uio-a0-26ww17a
parmiopcie6tridelldp_uio_0,ijtag_basic_tap_tests_tlr_reset,PASS,Emmanuel,nio_uio-a0-26ww17a
parmiopcie6tridelldp_uio_0,parmiopcie6tridelldp_uio_0_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,Emmanuel,nio_uio-a0-26ww17a
parmiopcie6tridelldp_uio_0,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,Emmanuel,nio_uio-a0-26ww17a
parmiopcie6tridelldp_uio_0,stuckat_edt_bypass_low_internal_serial_chain,PASS,Emmanuel,nio_uio-a0-26ww17a
parmiopcie6tridelldp_uio_0,stuckat_edt_bypass_low_internal_serial_scan,PASS,Emmanuel,nio_uio-a0-26ww17a
parmiopcie6tridelldp_uio_0,stuckat_edt_edt_low_internal_serial_chain,PASS,Emmanuel,nio_uio-a0-26ww17a
parmiopcie6tridelldp_uio_0,stuckat_edt_edt_low_internal_serial_scan,PASS,Emmanuel,nio_uio-a0-26ww17a
parmiopcie6ttidecee_uio_0,atspeed_edt_bypass_low_internal_serial_scan,PASS,Emmanuel,nio_uio-a0-26ww17a
parmiopcie6ttidecee_uio_0,atspeed_edt_edt_low_internal_serial_scan,PASS,Emmanuel,nio_uio-a0-26ww17a
parmiopcie6ttidecee_uio_0,ijtag_basic_tap_tests_rw_access,PASS,Emmanuel,nio_uio-a0-26ww17a
parmiopcie6ttidecee_uio_0,ijtag_basic_tap_tests_tlr_reset,PASS,Emmanuel,nio_uio-a0-26ww17a
parmiopcie6ttidecee_uio_0,parmiopcie6ttidecee_uio_0_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,Emmanuel,nio_uio-a0-26ww17a
parmiopcie6ttidecee_uio_0,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,Emmanuel,nio_uio-a0-26ww17a
parmiopcie6ttidecee_uio_0,stuckat_edt_bypass_low_internal_serial_chain,PASS,Emmanuel,nio_uio-a0-26ww17a
parmiopcie6ttidecee_uio_0,stuckat_edt_bypass_low_internal_serial_scan,PASS,Emmanuel,nio_uio-a0-26ww17a
parmiopcie6ttidecee_uio_0,stuckat_edt_edt_low_internal_serial_chain,PASS,Emmanuel,nio_uio-a0-26ww17a
parmiopcie6ttidecee_uio_0,stuckat_edt_edt_low_internal_serial_scan,PASS,Emmanuel,nio_uio-a0-26ww17a
pard2d1chnl,atspeed_edt_bypass_low_internal_serial_scan,PASS,Mario,nio_d2d-a0-26ww17b
pard2d1chnl,atspeed_edt_edt_low_internal_serial_scan,PASS,Mario,nio_d2d-a0-26ww17b
pard2d1chnl,ijtag_basic_tap_tests_rw_access,FAIL,Mario,nio_d2d-a0-26ww17b
pard2d1chnl,pard2d1chnl_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,Mario,nio_d2d-a0-26ww17b
pard2d1chnl,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,Mario,nio_d2d-a0-26ww17b
pard2d1chnl,stuckat_edt_bypass_low_internal_serial_chain,PASS,Mario,nio_d2d-a0-26ww17b
pard2d1chnl,stuckat_edt_bypass_low_internal_serial_scan,PASS,Mario,nio_d2d-a0-26ww17b
pard2d1chnl,stuckat_edt_edt_low_internal_serial_chain,PASS,Mario,nio_d2d-a0-26ww17b
pard2d1chnl,stuckat_edt_edt_low_internal_serial_scan,PASS,Mario,nio_d2d-a0-26ww17b
parmccore,atspeed_edt_bypass_low_internal_serial_scan,PASS,Mario,nio_mc-a0-26ww17a
parmccore,atspeed_edt_edt_low_internal_serial_scan,PASS,Mario,nio_mc-a0-26ww17a
parmccore,ijtag_basic_tap_tests_rw_access,PASS,Mario,nio_mc-a0-26ww17a
parmccore,parmccore_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,Mario,nio_mc-a0-26ww17a
parmccore,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,Mario,nio_mc-a0-26ww17a
parmccore,stuckat_edt_bypass_low_internal_serial_chain,PASS,Mario,nio_mc-a0-26ww17a
parmccore,stuckat_edt_bypass_low_internal_serial_scan,PASS,Mario,nio_mc-a0-26ww17a
parmccore,stuckat_edt_edt_low_internal_serial_chain,PASS,Mario,nio_mc-a0-26ww17a
parmccore,stuckat_edt_edt_low_internal_serial_scan,PASS,Mario,nio_mc-a0-26ww17a
parmiocxltx_uio_0,atspeed_edt_bypass_low_internal_serial_scan,MISSING,Mario,nio_uio-a0-26ww17a
parmiocxltx_uio_0,atspeed_edt_edt_low_internal_serial_scan,MISSING,Mario,nio_uio-a0-26ww17a
parmiocxltx_uio_0,ijtag_basic_tap_tests_rw_access,MISSING,Mario,nio_uio-a0-26ww17a
parmiocxltx_uio_0,scan_ctlr_stuckat_edt_bypass_low_internal_scandump,MISSING,Mario,nio_uio-a0-26ww17a
