test_name,test_status,test_result
paruboxspk_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
paruboxspk_paruboxspk_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parswinf2_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parswinf2_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parswinf1_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parswinf0_stuckat_edt_bypass_low_internal_scandump,FAIL,Error between simulated and expected patterns
parswinf1_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parsocrasip_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parswinf0_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parsocrasip_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parsocmiofivrmisc_e_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parcabinffivr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parcabpwbb_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parcabpwba_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parcabpwba_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parcabmiscw_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parscfscatopllcsf0_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parscfmemmisc_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parcd2dufich1e_parcd2dufich1e_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parscftqp2p_parscftqp2p_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
pard2dch1_ijtag_basic_tap_tests_tlr_reset,PASS,PASS
parsocmiofivrmisc_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parscfsasfrx2x_parscfsasfrx2x_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,FAIL,Error between simulated and expected patterns
pargpios5_ijtag_basic_tap_tests_rw_access,FAIL,Error between simulated and expected patterns
parscfcrsmem_icl_verify_dft,PASS,PASS
parrclk_stuckat_edt_bypass_low_internal_serial_chain,PASS,PASS
parrclk_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parhwrsfuse_ijtag_basic_tap_tests_rw_access,PASS,PASS
parscfioinf1e_icl_verify_dft,PASS,PASS
parscfioinf0w_parscfioinf0w_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parscfmeminffivr1w_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parscfubruioadaktype1_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parscfubruioadaktype1_parscfubruioadaktype1_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
pars3m_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parseinf1_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
pargpios0_ijtag_basic_tap_tests_rw_access,PASS,PASS
pargpiod2d_ijtag_basic_tap_tests_rw_access,PASS,PASS
pargpio1p8_ijtag_basic_tap_tests_rw_access,PASS,PASS
parfws_ijtag_basic_tap_tests_rw_access,PASS,PASS
pardfd_ijtag_basic_tap_tests_rw_access,PASS,PASS
pard2dinf2w_ijtag_basic_tap_tests_rw_access,PASS,PASS
parsocmiofivrmisc_e_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parsocmiofivrmisc_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parsocmiofivrmisc_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parseinf2_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parseinf2_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parseinf1_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parscfubruiodatatype2_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parseinf1_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parscfubruiodatatype2_parscfubruiodatatype2_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parscfubruiodatatype1_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parscfubruiodatatype1_parscfubruiodatatype1_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parscfubruioadaktype2_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parscfubruioadaktype2_parscfubruioadaktype2_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parscfubrsca_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parscfubrsca_parscfubrsca_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parscfubrd2d_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parscftqp2p_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parscftqio_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parscfubrd2d_parscfubrd2d_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parscftqio_parscftqio_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parscfscatopllcsf1_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parscfscatopllcsf1_parscfscatopllcsf1_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parscfsasfrx2x_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parscfmeminffivr2w_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parscfmeminffivr2w_parscfmeminffivr2w_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parscfmeminffivr2e_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parscfmeminffivr2e_parscfmeminffivr2e_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
pargpios0_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
pargpios0_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parscfmeminffivr1w_parscfmeminffivr1w_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
pargpiod2d_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
pargpio1p8_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parscfmeminffivr1e_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
pargpiod2d_pargpiod2d_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
pargpio1p8_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parfws_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parfws_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
pardfd_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
pardfd_pardfd_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
pard2dinf2e_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
pard2dinf2w_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
pard2dinf2e_pard2dinf2e_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
pard2dinf2w_pard2dinf2w_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
pard2dinf1w_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
pard2dinf1w_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
pard2dinf1e_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
pard2dinf1e_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
pard2dinf0w_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
pard2dinf0e_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
pard2dinf0w_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parscfubrsca_ijtag_basic_tap_tests_rw_access,PASS,PASS
parscfubrd2d_ijtag_basic_tap_tests_rw_access,PASS,PASS
parscftqp2p_ijtag_basic_tap_tests_rw_access,PASS,PASS
parscfmeminffivr0w_parscfmeminffivr0w_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parscfmeminffivr1e_parscfmeminffivr1e_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parscfmeminffivr0w_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parscfmeminffivr0e_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parscfmeminffivr0e_parscfmeminffivr0e_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parscfmeminf3w_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parscfmeminf3w_parscfmeminf3w_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parscfmeminf3e_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parscfmeminf3e_parscfmeminf3e_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parscfmeminf2w_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parscfmeminf2w_parscfmeminf2w_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parcinffivre_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parcinffivre_parcinffivre_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parcinf7e_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parcinf7e_parcinf7e_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parcinf7w_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parcinf7w_parcinf7w_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parcinf5w_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parcinf5w_parcinf5w_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parcinf5e_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parcinf5e_parcinf5e_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parcinf4_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parcinf4_parcinf4_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parcinf3_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parscfioinf0w_ijtag_basic_tap_tests_rw_access,PASS,PASS
parscfioinf0e_ijtag_basic_tap_tests_rw_access,PASS,PASS
parscfcrsuio_ijtag_basic_tap_tests_rw_access,PASS,PASS
parscfcrsp2p_ijtag_basic_tap_tests_rw_access,PASS,PASS
parscfcamisc_ijtag_basic_tap_tests_rw_access,PASS,PASS
parscfcms2xcrs2x_ijtag_basic_tap_tests_rw_access,PASS,PASS
parpsf2_ijtag_basic_tap_tests_rw_access,FAIL,Error between simulated and expected patterns
