test_name,test_status,test_result
parscfmemch3s_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parscfmemch3n_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parscfmemch3s_ssn_continuity,PASS,PASS
parscfmemch3n_ssn_continuity,PASS,PASS
parscfmemch2s_ssn_continuity,PASS,PASS
parscfmemch2s_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parscfmemch1n_ssn_continuity,PASS,PASS
parscfmemch2n_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parscfmemch1s_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parscfmemch2n_ssn_continuity,PASS,PASS
parscfmemch1s_ssn_continuity,PASS,PASS
parscfmemch1n_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parscfmemch0s_ssn_continuity,PASS,PASS
parscfmemch0s_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parscfmemch0s_ijtag_basic_tap_tests_rw_access,PASS,PASS
pargpio1p8_ssn_continuity,PASS,PASS
pargpio1p8_stuckat_edt_edt_low_internal_loopback,PASS,PASS
pard2dch0_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
pard2dch0_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
pargpiod2d_ssn_continuity,PASS,PASS
pargpiod2d_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parcgu_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
pargpios5_ssn_continuity,PASS,PASS
pargpios5_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parcgu_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
pargpios0_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parocs_ssn_continuity,PASS,PASS
parocs_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parscfmemch5_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parcabinf23e_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parscfmemch5_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parpsf2_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
pard2dch1_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
pard2dch1_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parscfmemch4_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parscfmemch4_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parcabinf23w_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parcabinf23w_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parcabinf23e_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parcabinf23e_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parscfmemch0s_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parscfmemch1n_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parscfmemch1n_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parscfmemch0s_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parscfmemch3s_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parscfmemch5_icl_verify_dft,PASS,PASS
parscfmemch4_icl_verify_dft,PASS,PASS
parscfmemch3s_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parcabmisce_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parcabmisce_ssn_continuity,PASS,PASS
parpsf2_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parcabinf23e_ssn_continuity,PASS,PASS
parcabinf23w_ssn_continuity,PASS,PASS
parcabinf23w_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parcabmisce_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parcabmisce_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parcabinf23e_ijtag_basic_tap_tests_rw_access,PASS,PASS
parcabinf23w_ijtag_basic_tap_tests_rw_access,PASS,PASS
parscfmemch0s_ijtag_basic_tap_tests_reset,PASS,PASS
parscfmemch2n_ijtag_basic_tap_tests_reset,PASS,PASS
parcabmisce_ijtag_basic_tap_tests_rw_access,PASS,PASS
parrclk_ssn_continuity,PASS,PASS
parscfmemch2n_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parscfmemch1s_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parscfmemch1s_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parscfmemch2n_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parscfmemch5_ssn_continuity,PASS,PASS
parscfmemch4_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parscfmemch4_ssn_continuity,PASS,PASS
parscfmemch5_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parscfmemch2s_ijtag_basic_tap_tests_reset,PASS,PASS
parcabinf23w_ijtag_basic_tap_tests_reset,PASS,PASS
parcabinf23e_ijtag_basic_tap_tests_reset,PASS,PASS
pargpios0_ssn_continuity,PASS,PASS
parcabmisce_ijtag_basic_tap_tests_reset,PASS,PASS
parscfmemch0s_icl_verify_dft,PASS,PASS
parcabinf23w_ijtag_basic_tap_tests_continuity,PASS,PASS
parcabinf23e_ijtag_basic_tap_tests_continuity,PASS,PASS
parscfmemch3n_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parscfmemch2s_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parscfmemch3n_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parscfmemch2s_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parscfmemch3n_icl_verify_dft,PASS,PASS
parscfmemch2n_icl_verify_dft,PASS,PASS
pargpiod2d_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
parscfmemch1s_icl_verify_dft,PASS,PASS
pargpio1p8_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
